Recall	Trained model (area: 0.59)	Random classifier (area: 0.13)
0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
5.025125628140703592e-03	1.000000000000000000e+00	1.220387652548456450e-02
1.005025125628140718e-02	1.000000000000000000e+00	2.440775305096912901e-02
1.507537688442210991e-02	1.000000000000000000e+00	3.661162957645369004e-02
2.010050251256281437e-02	1.000000000000000000e+00	4.881550610193825801e-02
2.512562814070351883e-02	1.000000000000000000e+00	6.101938262742282598e-02
3.015075376884421982e-02	1.000000000000000000e+00	5.680449028769578301e-02
3.517587939698492427e-02	1.000000000000000000e+00	6.529724646624937567e-02
4.020100502512562873e-02	1.000000000000000000e+00	7.379000264480295446e-02
4.522613065326633319e-02	1.000000000000000000e+00	8.228275882335654712e-02
5.025125628140703765e-02	1.000000000000000000e+00	9.077551500191013978e-02
5.527638190954774211e-02	1.000000000000000000e+00	9.926827118046371856e-02
6.030150753768843963e-02	1.000000000000000000e+00	9.730470534490634482e-02
6.532663316582915103e-02	1.000000000000000000e+00	1.043311797080641312e-01
7.035175879396984855e-02	1.000000000000000000e+00	1.113576540712219037e-01
7.537688442211055995e-02	1.000000000000000000e+00	1.183841284343796901e-01
8.040201005025125747e-02	1.000000000000000000e+00	1.254106027975374626e-01
8.542713567839195499e-02	1.000000000000000000e+00	1.324370771606952213e-01
9.045226130653266639e-02	1.000000000000000000e+00	8.290385069015061836e-02
9.547738693467336391e-02	1.000000000000000000e+00	8.703546180404153620e-02
1.005025125628140753e-01	1.000000000000000000e+00	9.116707291793248180e-02
1.055276381909547728e-01	1.000000000000000000e+00	9.529868403182341352e-02
1.105527638190954842e-01	1.000000000000000000e+00	9.943029514571434524e-02
1.155778894472361817e-01	1.000000000000000000e+00	1.035619062596052770e-01
1.206030150753768793e-01	1.000000000000000000e+00	1.048189666280118504e-01
1.256281407035175768e-01	1.000000000000000000e+00	1.086522355366576348e-01
1.306532663316583021e-01	1.000000000000000000e+00	1.124855044453034469e-01
1.356783919597989996e-01	1.000000000000000000e+00	1.163187733539492313e-01
1.407035175879396971e-01	1.000000000000000000e+00	1.201520422625950157e-01
1.457286432160803946e-01	1.000000000000000000e+00	1.239853111712408140e-01
1.507537688442211199e-01	1.000000000000000000e+00	1.216213960166279973e-01
1.557788944723618174e-01	1.000000000000000000e+00	1.251217326944801533e-01
1.608040201005025149e-01	1.000000000000000000e+00	1.286220693723323094e-01
1.658291457286432125e-01	1.000000000000000000e+00	1.321224060501844655e-01
1.708542713567839100e-01	1.000000000000000000e+00	1.356227427280366216e-01
1.758793969849246352e-01	1.000000000000000000e+00	1.391230794058888054e-01
1.809045226130653328e-01	1.000000000000000000e+00	1.424830282490677502e-01
1.859296482412060303e-01	1.000000000000000000e+00	1.458242587142902502e-01
1.909547738693467278e-01	1.000000000000000000e+00	1.491654891795127780e-01
1.959798994974874531e-01	1.000000000000000000e+00	1.525067196447353057e-01
2.010050251256281506e-01	1.000000000000000000e+00	1.558479501099578335e-01
2.060301507537688481e-01	7.778894472361809198e-01	1.429432878679109953e-01
2.110552763819095456e-01	7.816862088218872184e-01	1.458722182340272677e-01
2.160804020100502432e-01	7.854829704075935171e-01	1.488011486001435679e-01
2.211055276381909684e-01	7.892797319932999267e-01	1.517300789662598681e-01
2.261306532663316660e-01	7.930764935790062253e-01	1.546590093323761683e-01
2.311557788944723635e-01	7.968732551647125240e-01	1.575879396984924685e-01
2.361809045226130610e-01	7.279579716765646191e-01	1.273954095876206338e-01
2.412060301507537585e-01	7.318410232983096897e-01	1.297260110074180406e-01
2.462311557788944838e-01	7.357240749200548713e-01	1.320566124272154473e-01
2.512562814070351536e-01	7.396071265417999419e-01	1.343872138470128264e-01
2.562814070351758788e-01	7.434901781635450124e-01	1.367178152668102331e-01
2.613065326633166041e-01	7.473732297852900830e-01	1.390484166866076399e-01
2.663316582914572739e-01	7.510630073444143351e-01	1.413558175492848901e-01
2.713567839195979992e-01	7.543486664089679161e-01	1.436147081561654493e-01
2.763819095477387244e-01	7.576343254735214972e-01	1.458735987630460085e-01
2.814070351758793942e-01	7.609199845380749672e-01	1.481324893699265677e-01
2.864321608040201195e-01	7.642056436026285482e-01	1.503913799768071269e-01
2.914572864321607892e-01	7.674913026671821292e-01	1.526502705836876583e-01
2.964824120603015145e-01	7.705560770887404098e-01	1.502596388439122743e-01
3.015075376884422398e-01	7.733723562869292412e-01	1.523971922827482561e-01
3.065326633165829096e-01	7.761886354851178504e-01	1.545347457215842102e-01
3.115577889447236348e-01	7.790049146833066818e-01	1.566722991604201920e-01
3.165829145728643046e-01	7.818211938814954021e-01	1.588098525992561461e-01
3.216080402010050299e-01	7.846374730796841224e-01	1.609474060380921279e-01
3.266331658291457551e-01	7.872218234027279493e-01	1.606874954482557516e-01
3.316582914572864249e-01	7.896625987078248476e-01	1.627391616467430135e-01
3.366834170854271502e-01	7.921033740129217460e-01	1.647908278452302755e-01
3.417085427135678199e-01	7.945441493180186443e-01	1.668424940437175374e-01
3.467336683417085452e-01	7.969849246231156537e-01	1.688941602422047994e-01
3.517587939698492705e-01	7.994256999282125520e-01	1.709458264406920613e-01
3.567839195979899403e-01	8.016331658291457885e-01	1.636217121644257255e-01
3.618090452261306655e-01	8.037688442211055051e-01	1.655303544750781064e-01
