Recall	Trained on Michael set (area: 0.59)	Trained on Wookie set (area: 0.70)
0.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00
5.025125628140703592e-03	1.000000000000000000e+00	1.000000000000000000e+00
1.005025125628140718e-02	1.000000000000000000e+00	1.000000000000000000e+00
1.507537688442210991e-02	1.000000000000000000e+00	1.000000000000000000e+00
2.010050251256281437e-02	1.000000000000000000e+00	1.000000000000000000e+00
2.512562814070351883e-02	1.000000000000000000e+00	1.000000000000000000e+00
3.015075376884421982e-02	1.000000000000000000e+00	1.000000000000000000e+00
3.517587939698492427e-02	1.000000000000000000e+00	1.000000000000000000e+00
4.020100502512562873e-02	1.000000000000000000e+00	1.000000000000000000e+00
4.522613065326633319e-02	1.000000000000000000e+00	1.000000000000000000e+00
5.025125628140703765e-02	1.000000000000000000e+00	1.000000000000000000e+00
5.527638190954774211e-02	1.000000000000000000e+00	1.000000000000000000e+00
6.030150753768843963e-02	1.000000000000000000e+00	1.000000000000000000e+00
6.532663316582915103e-02	1.000000000000000000e+00	1.000000000000000000e+00
7.035175879396984855e-02	1.000000000000000000e+00	8.754885538805137202e-01
7.537688442211055995e-02	1.000000000000000000e+00	8.824678950307091041e-01
8.040201005025125747e-02	1.000000000000000000e+00	8.007309273640932368e-01
8.542713567839195499e-02	1.000000000000000000e+00	8.098675194152581414e-01
9.045226130653266639e-02	1.000000000000000000e+00	8.188670625856555585e-01
9.547738693467336391e-02	1.000000000000000000e+00	8.264808892949596641e-01
1.005025125628140753e-01	1.000000000000000000e+00	8.339775802087360246e-01
1.055276381909547728e-01	1.000000000000000000e+00	8.404200489627625670e-01
1.105527638190954842e-01	1.000000000000000000e+00	8.467612789220829717e-01
1.155778894472361817e-01	1.000000000000000000e+00	8.522833949969628176e-01
1.206030150753768793e-01	1.000000000000000000e+00	8.577171572146445877e-01
1.256281407035175768e-01	1.000000000000000000e+00	8.625029911462072096e-01
1.306532663316583021e-01	1.000000000000000000e+00	7.655598252701415474e-01
1.356783919597989996e-01	1.000000000000000000e+00	7.721286169409137257e-01
1.407035175879396971e-01	1.000000000000000000e+00	7.377677862999205693e-01
1.457286432160803946e-01	1.000000000000000000e+00	7.443797937053688862e-01
1.507537688442211199e-01	1.000000000000000000e+00	7.508973438621679986e-01
1.557788944723618174e-01	1.000000000000000000e+00	7.568796362766211372e-01
1.608040201005025149e-01	1.000000000000000000e+00	7.282261107911096598e-01
1.658291457286432125e-01	1.000000000000000000e+00	7.341847577809997860e-01
1.708542713567839100e-01	1.000000000000000000e+00	7.400589906051998623e-01
1.758793969849246352e-01	1.000000000000000000e+00	7.455210836792658391e-01
1.809045226130653328e-01	1.000000000000000000e+00	7.209741012756087919e-01
1.859296482412060303e-01	1.000000000000000000e+00	7.263857750289910431e-01
1.909547738693467278e-01	1.000000000000000000e+00	7.317212844851035403e-01
1.959798994974874531e-01	1.000000000000000000e+00	7.367320935160130979e-01
2.010050251256281506e-01	1.000000000000000000e+00	7.416713195607667064e-01
2.060301507537688481e-01	7.778894472361809198e-01	7.463242136608970734e-01
2.110552763819095456e-01	7.816862088218872184e-01	7.010212352082995091e-01
2.160804020100502432e-01	7.854829704075935171e-01	7.058842600097260389e-01
2.211055276381909684e-01	7.892797319932999267e-01	7.106804182201329478e-01
2.261306532663316660e-01	7.930764935790062253e-01	7.152395039714702918e-01
2.311557788944723635e-01	7.968732551647125240e-01	7.197350388305162605e-01
2.361809045226130610e-01	7.279579716765646191e-01	7.240178163544997991e-01
2.412060301507537585e-01	7.318410232983096897e-01	7.068958236560956010e-01
2.462311557788944838e-01	7.357240749200548713e-01	7.111186183015920648e-01
2.512562814070351536e-01	7.396071265417999419e-01	7.152827630214564358e-01
2.562814070351758788e-01	7.434901781635450124e-01	7.192709579644253060e-01
2.613065326633166041e-01	7.473732297852900830e-01	7.232031026000874663e-01
2.663316582914572739e-01	7.510630073444143351e-01	7.269757194380309651e-01
2.713567839195979992e-01	7.543486664089679161e-01	7.306947254051194829e-01
2.763819095477387244e-01	7.576343254735214972e-01	7.342687834621185461e-01
2.814070351758793942e-01	7.609199845380749672e-01	7.377915217111196133e-01
2.864321608040201195e-01	7.642056436026285482e-01	7.411822947395547700e-01
2.914572864321607892e-01	7.674913026671821292e-01	7.445239015590774390e-01
2.964824120603015145e-01	7.705560770887404098e-01	7.477451359360907102e-01
3.015075376884422398e-01	7.733723562869292412e-01	7.509192302978305866e-01
3.065326633165829096e-01	7.761886354851178504e-01	7.539833312905993568e-01
3.115577889447236348e-01	7.790049146833066818e-01	7.570022003163319191e-01
3.165829145728643046e-01	7.818211938814954021e-01	7.599203917380163986e-01
3.216080402010050299e-01	7.846374730796841224e-01	7.627951496129595776e-01
3.266331658291457551e-01	7.872218234027279493e-01	7.655776112010773682e-01
3.316582914572864249e-01	7.896625987078248476e-01	7.509212730318257645e-01
3.366834170854271502e-01	7.921033740129217460e-01	7.537130094919038958e-01
3.417085427135678199e-01	7.945441493180186443e-01	7.564634768043113633e-01
3.467336683417085452e-01	7.969849246231156537e-01	7.591338334182992087e-01
3.517587939698492705e-01	7.994256999282125520e-01	7.617644187635681519e-01
3.567839195979899403e-01	8.016331658291457885e-01	7.643211431812160228e-01
3.618090452261306655e-01	8.037688442211055051e-01	7.668395167325992023e-01
3.668341708542713353e-01	8.059045226130653328e-01	7.692897109661783750e-01
3.718592964824120606e-01	8.080402010050251604e-01	7.717029022664342319e-01
3.768844221105527859e-01	8.101758793969849881e-01	7.740530885721123022e-01
3.819095477386934556e-01	8.123115577889447048e-01	7.608986107005616395e-01
3.869346733668341809e-01	8.142181495713863848e-01	7.632633757020396148e-01
3.919597989949749062e-01	8.161025716819391151e-01	7.655926692284953372e-01
3.969849246231155759e-01	8.179869937924918455e-01	7.678664817299165612e-01
4.020100502512563012e-01	8.198714159030445758e-01	7.701059725332031203e-01
4.070351758793969710e-01	8.217558380135974172e-01	7.722939807892875708e-01
4.120603015075376963e-01	7.369743454112668291e-01	7.744487637348167475e-01
4.170854271356784215e-01	7.392224279291192968e-01	7.765557346480832512e-01
4.221105527638190913e-01	7.414705104469716535e-01	7.645271813613522260e-01
4.271356783919598166e-01	7.437185929648241212e-01	7.666481759446583943e-01
4.321608040201004863e-01	7.459666754826764778e-01	7.553010059371266793e-01
4.371859296482412116e-01	7.482147580005289456e-01	7.574290083204893165e-01
4.422110552763819369e-01	5.362774463450256102e-01	7.466995996933821766e-01
4.472361809045226066e-01	5.390127979800479752e-01	7.488288902137807401e-01
4.522613065326633319e-01	5.417481496150704512e-01	7.509267649724029603e-01
4.572864321608040017e-01	5.444835012500928162e-01	7.529862426888540572e-01
4.623115577889447270e-01	5.472188528851151812e-01	7.550151604133836791e-01
4.673366834170854522e-01	5.499542045201376572e-01	7.570082033647880237e-01
4.723618090452261220e-01	5.342410979629329537e-01	7.589715088499332518e-01
4.773869346733668473e-01	5.368130977467985288e-01	7.609012805965310600e-01
4.824120603015075170e-01	5.393850975306639928e-01	7.509277155005797955e-01
4.874371859296482423e-01	5.419570973145295678e-01	7.528604561267877582e-01
4.924623115577889676e-01	5.445290970983951429e-01	7.433708569986977599e-01
4.974874371859296374e-01	5.471010968822607179e-01	7.453027234771778531e-01
5.025125628140703071e-01	5.163697274250037550e-01	7.472061801545039073e-01
5.075376884422110324e-01	5.188061519719810999e-01	7.490812270306758114e-01
5.125628140703517577e-01	5.212425765189584448e-01	7.193125250666477788e-01
5.175879396984924830e-01	5.236790010659357897e-01	7.212785366582521451e-01
5.226130653266332082e-01	5.261154256129130236e-01	6.852821867368283915e-01
5.276381909547738225e-01	5.285518501598903685e-01	6.873430721619031569e-01
5.326633165829145478e-01	5.014939562678255580e-01	6.893759506824833627e-01
5.376884422110552730e-01	5.038027977726470263e-01	6.913839928915305189e-01
5.427135678391959983e-01	5.061116392774683836e-01	6.933645833843021800e-01
5.477386934673367236e-01	5.084204807822898520e-01	6.953217890817280367e-01
5.527638190954774489e-01	5.107293222871112093e-01	6.885662882312798549e-01
5.577889447236180631e-01	5.130381637919325666e-01	6.905049941063340357e-01
5.628140703517587884e-01	4.059392708221960522e-01	6.599399184706019605e-01
5.678391959798995137e-01	4.080598025588937361e-01	6.619334703613828363e-01
5.728643216080402389e-01	4.101803342955914200e-01	6.639008998480775414e-01
5.778894472361809642e-01	4.123008660322891039e-01	6.658486229597599948e-01
5.829145728643215785e-01	4.144213977689867878e-01	6.677706715395157477e-01
5.879396984924623037e-01	4.165419295056844717e-01	6.696741282168418019e-01
5.929648241206030290e-01	4.185810002392916784e-01	6.715523480528279299e-01
5.979899497487437543e-01	4.206149796602057789e-01	6.734130304227983199e-01
6.030150753768844796e-01	4.226489590811198793e-01	6.752489036945025225e-01
6.080402010050250938e-01	4.246829385020339243e-01	6.770682375673624520e-01
6.130653266331658191e-01	4.267169179229480247e-01	6.788631803707181334e-01
6.180904522613065444e-01	4.287437185929647843e-01	6.806425288837349985e-01
6.231155778894472697e-01	4.306963388370423362e-01	6.750054620930741045e-01
6.281407035175879949e-01	4.326489590811198882e-01	6.767674276008373013e-01
6.331658291457286092e-01	4.346015793251973847e-01	6.713117659968375062e-01
